account_id,post_id,Category,Page,Post URL,Date Published,Post Type,Rating,Debate,share_count,reaction_count,comment_count
1.84097E+14,1.03506E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035057923259100,19-09-2016,video,no factual content,,,146,15
1.84097E+14,1.03527E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035269309904628,19-09-2016,link,mostly true,,1,33,34
1.84097E+14,1.03531E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035305953234297,19-09-2016,link,mostly true,,34,63,27
1.84097E+14,1.03532E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035322636565962,19-09-2016,link,mostly true,,35,170,86
1.84097E+14,1.03535E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035352946562931,19-09-2016,video,mostly true,,568,3188,2815
1.84097E+14,1.03537E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035366579894901,19-09-2016,link,mostly true,,23,28,21
1.84097E+14,1.03541E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035411183223774,19-09-2016,video,mostly true,,46,409,105
1.84097E+14,1.03543E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035430716555154,19-09-2016,link,mostly true,,7,62,64
1.84097E+14,1.03545E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035451683219724,19-09-2016,link,mostly true,,7,39,6
1.84097E+14,1.03545E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035453279886231,19-09-2016,video,mostly true,,152,278,59
1.84097E+14,1.03546E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035456253219267,19-09-2016,link,mostly true,,8,29,14
1.84097E+14,1.03549E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035489746549251,19-09-2016,link,mostly true,,,10,0
1.84097E+14,1.03549E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035491416549084,19-09-2016,video,mostly true,,37,507,164
1.84097E+14,1.0355E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035503133214579,19-09-2016,link,mostly true,,4,23,2
1.84097E+14,1.03553E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035527713212121,19-09-2016,video,mostly true,,10,85,29
1.84097E+14,1.03553E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035532526544973,19-09-2016,link,mostly true,,10,41,14
1.84097E+14,1.03556E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035558749875684,19-09-2016,video,no factual content,,3,9,3
1.84097E+14,1.03557E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035572169874342,19-09-2016,video,mostly true,,,16,20
1.84097E+14,1.03559E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035592746538951,19-09-2016,link,mostly true,,15,276,74
1.84097E+14,1.0356E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035595553205337,19-09-2016,link,mostly true,,56,300,65
1.84097E+14,1.03562E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035619779869581,19-09-2016,video,mostly true,,64,480,130
1.84097E+14,1.03563E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035627049868854,19-09-2016,link,mostly true,,6,33,5
1.84097E+14,1.03566E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035656723199220,19-09-2016,video,mostly true,,289,674,243
1.84097E+14,1.03567E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035672566530969,19-09-2016,link,mostly true,,2,18,11
1.84097E+14,1.03568E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035679109863648,19-09-2016,video,no factual content,,,24,7
1.84097E+14,1.03568E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035684116529814,19-09-2016,video,no factual content,,5,19,6
1.84097E+14,1.03571E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035706656527560,19-09-2016,video,mostly true,,30,268,177
1.84097E+14,1.03573E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035726243192268,19-09-2016,link,mostly true,,50,157,129
1.84097E+14,1.03574E+15,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035738123191080,19-09-2016,video,no factual content,,,47,6
